statement_number,statement,truth,age,gender,filename
1,An iceberg contains significantly more total heat energy than a burning match.,TRUE,young,female,"audio/True_1,_Voice_Y1.wav"
2,The world’s first nuclear reactor was built in a squash court.,TRUE,young,female,"audio/True_2,_Voice_Y1.wav"
3,Animals that lay eggs don't have belly buttons.,TRUE,young,female,"audio/True_3,_Voice_Y1.wav"
4,Adult beavers can hold their breath for up to 15 minutes under water.,TRUE,young,female,"audio/True_4,_Voice_Y1.wav"
5,A bee has 5 eyes.,TRUE,young,female,"audio/True_5,_Voice_Y1.wav"
6,A honeybee can fly at 15 mph.,TRUE,young,female,"audio/True_6,_Voice_Y1.wav"
7,Studies suggest that ants can lift up to 5000 times their own weight.,TRUE,young,female,"audio/True_7,_Voice_Y1.wav"
8,Camel’s milk does not curdle.,TRUE,young,female,"audio/True_8,_Voice_Y1.wav"
9,The average ruby-throated hummingbird weighs less than a nickel.,TRUE,young,female,"audio/True_9,_Voice_Y1.wav"
10,Almonds are part of the peach family.,TRUE,young,female,"audio/True_10,_Voice_Y1.wav"
11,A ball of glass will bounce higher than a ball of rubber.,TRUE,young,female,"audio/True_11,_Voice_Y1.wav"
12,Elephants can’t jump.,TRUE,young,female,"audio/True_12,_Voice_Y1.wav"
13,No only child has ever been a U.S. president.,TRUE,young,female,"audio/True_13,_Voice_Y1.wav"
14,"In the late 1800s, the United States Mint issued 2-cent and 3-cent coins.",TRUE,young,female,"audio/True_14,_Voice_Y1.wav"
15,The starfish is the only animal that can turn its stomach inside out.,TRUE,young,female,"audio/True_15,_Voice_Y1.wav"
16,"If you keep a goldfish in a dark room, it will eventually turn white.",TRUE,young,female,"audio/True_16,_Voice_Y1.wav"
17,A seal can sleep while three-quarters of its brain remains awake.,TRUE,young,female,"audio/True_17,_Voice_Y1.wav"
18,A crocodile can stick its tongue out further than any other animal.,TRUE,young,female,"audio/True_18,_Voice_Y1.wav"
19,China only has one official time zone.,TRUE,young,female,"audio/True_19,_Voice_Y1.wav"
20,Texas is the only state that permits residents to cast absentee ballots from space.,TRUE,young,female,"audio/True_20,_Voice_Y1.wav"
21,The speed limit in New York City was nine mph in 1895.,TRUE,young,female,"audio/True_21,_Voice_Y1.wav"
22,"Before mercury, brandy was used to fill thermometers.",TRUE,young,female,"audio/True_22,_Voice_Y1.wav"
23,A male kangaroo is called a boomer.,TRUE,young,female,"audio/True_23,_Voice_Y1.wav"
24,Louisiana was named after Louis XIV.,TRUE,young,female,"audio/True_24,_Voice_Y1.wav"
25,The mouth of the Statue of Liberty is 3 feet wide.,TRUE,young,female,"audio/True_25,_Voice_Y1.wav"
26,Giraffes can lick their own eyes.,TRUE,young,female,"audio/True_26,_Voice_Y1.wav"
27,There are towns named Sandwich in Illinois and Massachusetts.,TRUE,young,female,"audio/True_27,_Voice_Y1.wav"
28,Cows give more milk when they listen to music.,TRUE,young,female,"audio/True_28,_Voice_Y1.wav"
29,The state of Arizona does not observe daylight savings time.,TRUE,young,female,"audio/True_29,_Voice_Y1.wav"
30,Half your body's red blood cells are replaced every seven days.,TRUE,young,female,"audio/True_30,_Voice_Y1.wav"
31,Blood makes up about 7% of your body's weight.,TRUE,young,female,"audio/True_31,_Voice_Y1.wav"
32,There is a type of catfish that can walk on land.,TRUE,young,female,"audio/True_32,_Voice_Y1.wav"
33,A jellyfish is more than 95% water.,TRUE,young,female,"audio/True_33,_Voice_Y1.wav"
34,A starfish can release approximately 2.5 million eggs at once.,TRUE,young,female,"audio/True_34,_Voice_Y1.wav"
35,Jellyfish do not have hearts.,TRUE,young,female,"audio/True_35,_Voice_Y1.wav"
36,Traffic lights were invented before automobiles.,TRUE,young,female,"audio/True_36,_Voice_Y1.wav"
37,Your heart does not momentarily stop when you sneeze.,TRUE,young,female,"audio/True_37,_Voice_Y1.wav"
38,Tennis was invented before golf.,TRUE,young,female,"audio/True_38,_Voice_Y1.wav"
39,Dishwashers were invented before washing machines.,TRUE,young,female,"audio/True_39,_Voice_Y1.wav"
40,"In colonial times, only slaves ate lobster.",TRUE,young,female,"audio/True_40,_Voice_Y1.wav"
41,"Montpelier, Vermont is the only U.S. state capital without a McDonalds.",TRUE,young,female,"audio/True_41,_Voice_Y1.wav"
42,Rhode Island never ratified the 18th Amendment (Prohibition).,TRUE,young,female,"audio/True_42,_Voice_Y1.wav"
43,Oregon’s state birthday is on Valentine’s Day.,TRUE,young,female,"audio/True_43,_Voice_Y1.wav"
44,Camels have three eyelids on each eye.,TRUE,young,female,"audio/True_44,_Voice_Y1.wav"
45,Children tend to grow faster in the spring.,TRUE,young,female,"audio/True_45,_Voice_Y1.wav"
